NAME                      | DESCRIPTION          | AUTHOR          | DATE       | VERSION  | KEYWORDS                                                                                                                
almost-static-site        | Single page app…     | =unkhz          | 2016-11-19 | 0.1.8    | spa static generator framework angular foundation sass documentation markdown yaml front-matter browserify commonjs gulp
angular-auto-validate     | An automatic…        | =jonsamwell     | 2015-10-27 | 1.19.0   | angularjs validation bootstrap foundation
angular-dynamic-routing   | Provides dynamic…    | =soumak77       | 2016-08-23 | 1.1.1    | foundation angular gulpfriendly
angular-formly-templates- | Angular-Formly…      | =kentcdodds     | 2016-02-26 | 1.0.0-b… | 
foundation                |                      |                 |            |          | 
angular-foundation        | Angular components…  | =jbrowning      | 2015-10-13 | 0.8.0    | angular foundation
angular-foundation-6      | ***                  | =circlingthesun | 2017-01-03 | 0.10.24  | 
angular-foundation-ib     | angular-foundation…  | =alonp99        | 2016-07-10 | 0.8.0    | 
angular-front-router      | Generate AngularJS…  | =soumak77       | 2016-08-10 | 1.1.1    | foundation angular gulpfriendly
angular-gitkit            | An AngularJS module… | =krico          | 2015-05-14 | 0.0.1-0  | AngularJS GitKit Google Identity Toolkit OpenID OpenID Foundation
angular-mm-foundation     | [![Build…            | =flobacher      | 2015-06-23 | 0.7.0-S… | 
angular-mm-foundation-ib  | angular-foundation…  | =alonp99        | 2016-07-10 | 0.8.1    | 
animated-orbit            | Add animate.css to…  | =nellaparedes   | 2015-11-19 | 1.0.2    | foundation animate.css
apostrophe-snippets       | Reusable content…    | =alexgilbert…   | 2016-12-20 | 0.5.19   | snippets reuse content reuse content strategy apostrophe cms punkave
ascli                     | A uniform…           | =dcode          | 2016-11-05 | 1.0.1    | ansi terminal colors ascii
ashleshajs                | AshleshaJS is a…     | =akshar         | 2012-11-16 | 1.0.0    | NodeJS node YUI3 Express Bootstrap
asperjs                   | Formerly known as…   | =aetiranos      | 2016-12-07 | 1.0.1    | bootstrap bootstrap2 bootstrap3 bootstrap4 foundation foundation5 foundation6 open framework open framework media queries query media gulp sass less scss responsive development tools tools CI
asperjs-dev               | A developmental…     | =aetiranos      | 2016-12-07 | 0.0.4    | bootstrap bootstrap2 bootstrap3 bootstrap4 foundation foundation5 foundation6 open framework open framework media queries query media gulp sass less scss responsive development tools tools CI
assemble-handlebars-3     | Static site…         | =ablackledge    | 2015-05-07 | 0.4.42   | HTML alternative blog boilerplate boilerplates bootstrap build builder components deployment front generator generators grunt gruntplugin handlebars handlebars-helper-eachitems helpers javascript jekyll matter node node.js pages partial partials scaffold scaffolds site static task templates templating website yaml yeoman
atom-tfs                  | TFS Atom…            | =ivangabriele   | 2016-01-26 | 0.4.0    | tfs team foundation server microsoft
atomicrecord              | Super lightweight…   | =ashleybrener   | 2015-02-12 | 0.1.9    | fdb foundationdb database nosql acid
awayjs-core               | AwayJS core classes  | =80prozent…     | 2016-06-13 | 0.6.39   | 
awayjs-display            | AwayJS displaylist…  | =80prozent…     | 2016-06-20 | 0.8.60   | 
awayjs-dist               | Distribution build…  | =awayfoundation | 2014-11-05 | 0.2.0    | 
awayjs-full               | Complete monolitic…  | =80prozent…     | 2016-12-08 | 0.2.37   | AwayJS WebGL 2D 3D graphics
awayjs-lite               | Minimal monolitic…   | =awayfoundation | 2016-05-20 | 5.0.4    | AwayJS WebGL 2D 3D graphics
awayjs-methodmaterials    | Method Materials…    | =awayfoundation… | 2016-05-25 | 0.3.20   | 
awayjs-parsers            | Parsers for AwayJS   | =80prozent…     | 2016-06-13 | 0.5.36   | 
awayjs-player             | Player for AwayJS    | =80prozent…     | 2016-05-27 | 0.5.16   | 
awayjs-renderergl         | GL Renderer for…     | =awayfoundation… | 2016-06-13 | 0.8.37   | 
awayjs-stagegl            | GL Stage for AwayJS  | =awayfoundation… | 2016-05-20 | 0.8.20   | 
badgr-client              | client for the…      | =josmas…        | 2016-10-27 | 1.0.0    | badgr badges open badges paperbadger mozilla science lab science node
base                      | base is the…         | =doowb…         | 2016-12-10 | 0.11.1   | framework api web mvc extensible micro
base-apps-router          | Generate AngularJS…  | =soumak77       | 2016-09-23 | 1.2.5    | foundation angular gulpfriendly
base-methods              | base-methods is the… | =antz29 =doowb… | 2016-01-12 | 0.6.2    | boilerplate cache del get inherit methods set starter unset visit
basicgrid                 | A Foundation-like…   | =electerious    | 2016-11-25 | 2.0.1    | grid foundation column columns row rows responsive
beardcomb                 | Hogan.js adapter…    | =sppericat      | 2015-03-25 | 0.4.1    | express.js hogan.js adapter foundation partials
bedrock                   | A core foundation…   | =davidlehn…     | 2016-12-09 | 1.4.0    | 
beez-foundation           | It is the basis for… | =fkei…          | 2015-06-01 | 0.9.7    | beez node static mock server jpegoptim optipng pngquant imagemagick development
bestlang                  | Language parser…     | =aali…          | 2016-09-19 | 0.0.1    | 
bff-lib                   | Basic Front-end…     | =oskargustafss… | 2016-05-24 | 0.5.1    | mvc model view controller extend events patch DOM
billogram-foundation      | Billogram's visual…  | =mrydengren     | 2016-12-20 | 3.2.1    | 
bixby-common              | Common components…   | =jaredhanson    | 2016-05-21 | 0.1.2    | components common core foundation framework
broccoli-stew             | foundation of any…   | =caitp…         | 2016-10-10 | 1.4.0    | broccoli broccoli-plugin
bugcore                   | bugcore is a…        | =airbug…        | 2016-02-15 | 0.3.27   | bugcore framework object oop
bytepuhsers-common-js     | A collection of…     | =jaredramirez…  | 2016-03-13 | 0.0.22   | 
bytepushers-common-js     | A collection of…     | =pouncilt       | 2016-05-11 | 0.0.0    | 
bytepushers-js-core       | A collection of…     | =pouncilt       | 2016-09-29 | 0.0.69   | 
calamarcopollo            | Save the chicken…    | =fczuardi       | 2016-09-29 | 0.10.9   | chatbot wit bus bus schedule telegram
can-interchange           | A clone of…          | =macrofig       | 2016-03-08 | 0.0.2    | media query match interchange
carmel-foundation-stack   | Carmel Foundation…   | =idancali       | 2016-11-04 | 0.2.6    | 
cedar-roots               | Foundation code for… | =marcoms        | 2017-01-04 | 1.1.1    | 
cm-scally                 | Campaign Monitor's…  | =chris__pearce  | 2015-09-30 | 0.2.0    | scally css oocss sass bem responsive
cmbf2-core                | CMBF/2 SPI and core… | =jgrenon        | 2016-05-23 | 0.7.11   | micro-service enterprise typescript
compass-boilerplate       | The foundation for…  | =sir-dunxalot   | 2016-01-09 | 0.1.2    | sass scss compass boilerplate css
connect-foundationdb      | FoundationDB…        | =mmetral        | 2015-01-14 | 0.1.0    | connect foundationdb session express
contentworkable           | A foundation for…    | =dubroy         | 2014-08-29 | 0.1.0    | contenteditable
cordova-plugin-mfp        | IBM MobileFirst…     | =ibmmfpf        | 2016-12-07 | 8.0.201… | cordova ibm worklight mobilefirst mfp ecosystem:cordova cordova-android cordova-ios cordova-windows
cordova-plugin-mfp-encryp | IBM MobileFirst…     | =ibmmfpf        | 2016-12-07 | 8.0.201… | cordova ibm worklight mobilefirst mfp encrypt ecosystem:cordova cordova-ios
t-utils                   |                      |                 |            |          |                                                                            
cordova-plugin-mfp-fips   | IBM MobileFirst…     | =ibmmfpf        | 2016-12-07 | 8.0.201… | cordova ibm worklight mobilefirst mfp fips ecosystem:cordova cordova-android cordova-ios
cordova-plugin-mfp-jsonst | IBM MobileFirst…     | =ibmmfpf        | 2016-12-07 | 8.0.201… | cordova ibm worklight mobilefirst mfp jsonstore ecosystem:cordova cordova-android cordova-ios cordova-windows
ore                       |                      |                 |            |          |                                                                                                              
cordova-plugin-mfp-push   | Cordova Plugin for…  | =ibmmfpf        | 2016-12-07 | 8.0.201… | cordova ibm worklight mobilefirst mfp ecosystem:cordova cordova-android cordova-ios cordova-windows
cordova-template-mfp      | MobileFirst…         | =ibmmfpf        | 2016-12-07 | 8.0.201… | ecosystem:phonegap ecosystem:cordova cordova:template phonegap:template
cornerstone-js            | Cornerstone…         | =strd6          | 2013-11-11 | 0.3.2    | 
cosy-grid                 | Building html for…   | =dervalp        | 2013-07-24 | 0.0.4    | 
covistra-system           | Hapi plugin acting…  | =jgrenon        | 2016-04-07 | 0.8.3    | 
create-react-icon         | convert one or…      | =envato-founda… | 2016-12-05 | 0.1.0    | svg react icon
datatables.net-autofill-z | AutoFill for…        | =datatables     | 2016-12-06 | 2.1.3    | autofill excel DataTables jQuery table Foundation
f                         |                      |                 |            |          |                                                  
datatables.net-buttons-zf | Buttons for…         | =datatables     | 2016-12-16 | 1.2.4    | buttons excel pdf csv column visibility print DataTables jQuery table Foundation
datatables.net-colreorder | ColReorder for…      | =datatables     | 2016-05-19 | 1.3.2    | reorder DataTables jQuery table Foundation
-zf                       |                      |                 |            |          |                                           
datatables.net-fixedcolum | FixedColumns for…    | =datatables     | 2016-05-20 | 3.2.2    | fixed columns DataTables jQuery table Foundation
ns-zf                     |                      |                 |            |          |                                                 
datatables.net-fixedheade | FixedHeader for…     | =datatables     | 2016-05-20 | 3.1.2    | fixed headers sticky DataTables jQuery table Foundation
r-zf                      |                      |                 |            |          |                                                        
datatables.net-keytable-z | KeyTable for…        | =datatables     | 2016-12-06 | 2.2.0    | spreadsheet excel keyboard DataTables jQuery table Foundation
f                         |                      |                 |            |          |                                                              
datatables.net-responsive | Responsive for…      | =datatables     | 2016-12-06 | 2.1.1    | responsive DataTables jQuery table Foundation
-zf                       |                      |                 |            |          |                                              
datatables.net-rowreorder | RowReorder for…      | =datatables     | 2016-12-06 | 1.2.0    | row reordering DataTables jQuery table Foundation
-zf                       |                      |                 |            |          |                                                  
datatables.net-scroller-z | Scroller for…        | =datatables     | 2016-05-19 | 1.4.2    | virtual scrolling DataTables jQuery table Foundation
f                         |                      |                 |            |          |                                                     
datatables.net-select-zf  | Select for…          | =datatables     | 2016-12-06 | 1.2.1    | select selection DataTables jQuery table Foundation
datatables.net-zf         | DataTables for…      | =datatables     | 2016-12-30 | 1.10.13  | filter sort DataTables jQuery table Foundation
debox-web-component       | component ui web…    | =nurdiansyah    | 2016-11-04 | 1.0.0    | ui component react bootstrap
deepak                    | deepak has been…     | =ashleybrener   | 2015-01-26 | 0.1.2    | fdb foundationdb database nosql acid pack unpack
devapt-features-foundatio | Devapt features for… | =lucbories      | 2016-07-17 | 1.0.0    | zurb foundation devapt renderer feature
n6                        |                      |                 |            |          |                                        
dosomething-neue          | This is…             | =dfurnes…       | 2015-07-23 | 6.4.11   | 
dox-foundation            | HTML output for Dox… | =mattmcmanus    | 2014-01-09 | 0.5.6    | dox jsdox documentation docs dox
dtsbundler-webpack-plugin | Generates a single…  | =awayfoundation | 2016-06-11 | 1.0.0    | typescript declaration bundling webpack
dynamic-foundation        |                      | =langtutheky    | 2016-12-16 | 1.1.2    | 
easy-query                | An easy to use,…     | =aetiranos      | 2016-07-22 | 1.1.7    | bootstrap bootstrap2 bootstrap3 bootstrap4 foundation foundation5 foundation6 open framework open framework media queries query media gulp sass scss responsive development tools tools CI
ember-cli-foundation      | Include foundation…  | =kiwiupover     | 2016-06-19 | 0.0.2    | ember-addon foundation ember ember-cli
ember-cli-foundation-6-sa | Foundation 6 SASS…   | =acoustep       | 2016-12-17 | 0.0.17   | ember-addon
ss                        |                      |                 |            |          |            
ember-cli-foundation-moda | A modal mixin for…   | =toranb…        | 2016-04-25 | 1.0.0    | ember-addon foundation modal ember
l                         |                      |                 |            |          |                                   
ember-cli-foundation-sass | Include Foundation…  | =globegitter…   | 2016-05-26 | 2.0.0    | ember-addon ember ember-cli foundation foundation-sass sass
ember-cli-paint           | Foundation for…      | =arkham…        | 2016-06-10 | 1.13.11  | ember-addon
ember-foundation          | Ember Addon for…     | =joshforisha    | 2015-06-15 | 0.7.2    | components ember-addon zurb foundation
ember-foundation-apps     | An application port… | =tatemz         | 2015-03-26 | 0.0.3    | ember-addon Foundation ZURB responsive apps applications
ember-foundation-sass     | foundation addon…    | =ajainvivek     | 2016-02-18 | 0.0.5    | ember-addon ember ember-cli foundation foundation-sass sass
ember-foundation-sites    |                      |                 | 2015-11-24 |          | 
ember-magma               | Magma is a…          | =alexmngn       | 2016-02-05 | 0.3.0    | ember-addon ember ember-cli bootstrap foundation paper components ui magma
ember-pagination-ui       | Pagination…          | =seymac         | 2015-06-17 | 0.0.3    | ember-addon ember-pagination-ui pagination foundation-pagination
ember-pricing-table       | Price table…         | =foxnewsnetwork | 2016-03-22 | 0.2.1    | ember-addon
emujs                     | A responsiveness…    | =dumday         | 2016-06-14 | 1.0.3    | emu emujs emulate simulate javascript jquery mobile browser bootstrap foundation browser design screenshot responsive test
engine.io                 | The realtime engine… | =darrachequesne… | 2017-01-02 | 1.8.2    | 
engine.io-f               | The realtime engine… | =contra…        | 2016-04-08 | 0.1.0    | 
engine.io-pure            | The realtime engine… | =johanneswuerb… | 2016-02-04 | 1.5.9    | 
epsom                     | Express skeleton…    | =charleetm      | 2013-06-28 | 0.2.8    | epsom express framework sinatra web rest restful router app api ember mongoose
eqcol                     | Equal effing columns | =awcross        | 2016-12-19 | 2.0.0    | equal columns row height browser bootstrap foundation match
es2015-foundation-sites   |                      |                 | 2016-06-09 |          | 
eslint-formatter-vso      | An ESLint formatter… | =bdukes         | 2016-08-08 | 0.1.0    | eslint formatter vso tfs vsts
evolve-frame              | The Evolve Frame is… | =toddpi314      | 2015-11-24 | 0.0.0    | 
evolveframe               | The Evolve Frame is… | =toddpi314      | 2015-11-24 | 0.0.0    | 
extnode                   | Ext JS Foundation…   | =brunotavares   | 2011-12-23 | 4.1.0-b… | extjs class system
f-remix                   | The Ultimate…        | =blu-jay        | 2016-03-07 | 0.1.11   | 
fachwerk-f3               | Fachwerk foundation… | =fachw3rk       | 2016-07-11 | 1.0.2    | 
fain                      | React components…    | =guzart         | 2016-12-25 | 0.8.0    | react react-components css-modules
fashionista               | Apply themes to…     | =brian.lai      | 2013-06-04 | 0.3.4    | express connect foundation stylus theme
fdboost                   | Performance…         | =ashleybrener   | 2015-02-12 | 0.1.10   | fdb foundationdb database nosql acid util
ff-checkbox               | Theme-able checkbox… | =firefly-ui…    | 2016-06-06 | 1.0.0    | ember-addon
ff-radio                  | Theme-able radio…    | =firefly-ui…    | 2016-06-06 | 1.0.0    | ember-addon
ffdevices                 | List all available…  | =odegraciajr    | 2016-11-06 | 0.1.1    | ffmpeg dshow avfoundation gdigrab video4linux2 v4l2
formalize                 | Node.js NoSQL…       | =ashleybrener   | 2014-09-11 | 0.1.18   | fdb foundationdb database nosql acid
formvalidation            | The best jQuery…     | =niftylettuce   | 2016-12-04 | 0.6.2-d… | jQuery plugin validate validator form Bootstrap Foundation Pure SemanticUI UIKit
found.scss                | foundational scss    | =calledt        | 2016-02-27 | 0.0.3    | scss mixin function normalize.css
foundation                | You may also want…   | =brian.lai      | 2013-06-05 | 4.2.1-1  | 
foundation-apps           | A responsive,…       | =eddiedean…     | 2016-04-14 | 1.2.0    | Foundation ZURB responsive apps applications
foundation-apps-material- |                      |                 | 2015-02-12 |          | 
design                    |                      |                 |            |          | 
foundation-apps-modal     | Zurb…                | =vinhnghi223    | 2016-06-15 | 0.1.5    | 
foundation-apps-template  | App Name: Sample1    | =sarveshp89     | 2016-03-07 | 1.2.0    | 
foundation-bem-grid       | Modern Sass BEM…     | =starise        | 2016-03-25 | 1.0.1    | css grid sass foundation
foundation-breakpoints    | A simple plugin…     | =theblackbolt   | 2015-11-25 | 0.2.7    | foundation 6 foundation 5 breakpoints media queries matchmedia
foundation-cli            | Command-line…        | =antjanus…      | 2016-10-11 | 2.1.0    | foundation cli scaffold
foundation-components     | Additional UI…       | =dasch          | 2016-05-15 | 0.0.2    | 
foundation-contextmenu    | Context Menu plugin… | =owlbertz       | 2016-10-07 | 0.0.6    | javascript menu foundation
foundation-datepicker     | Foundation…          | =najlepsiwebde… | 2016-10-12 | 1.5.5    | 
foundation-datepicker.js  | foundation-datepick… | =mzg            | 2016-10-20 | 1.0.0    | foundation-datepicker.js
foundation-design-system- | foundation design…   | =envato-founda… | 2016-11-02 | 0.1.0    | token
tokens                    |                      |                 |            |          |      
foundation-design-system- | foundation design…   | =envato-founda… | 2016-11-02 | 0.1.0    | breakpoints
tokens-breakpoints        |                      |                 |            |          |            
foundation-design-system- | foundation design…   | =envato-founda… | 2016-11-02 | 0.1.0    | colors
tokens-colors             |                      |                 |            |          |       
foundation-design-system- | foundation design…   | =envato-founda… | 2016-11-02 | 0.1.0    | glyphs
tokens-glyphs             |                      |                 |            |          |       
foundation-design-system- | foundation design…   | =envato-founda… | 2016-11-02 | 0.1.0    | spacing
tokens-spacing            |                      |                 |            |          |        
foundation-design-system- | foundation design…   | =envato-founda… | 2016-11-02 | 0.1.0    | typography
tokens-typography         |                      |                 |            |          |           
foundation-emails         | A framework for…     | =kbal11…        | 2016-06-30 | 2.2.1    | responsive emails
foundation-emails-templat | Basic template for…  | =evanhobbs…     | 2016-12-10 | 1.0.0    | 
e                         |                      |                 |            |          | 
foundation-for-react      |                      |                 | 2016-03-14 |          | 
foundation-framework      |                      |                 | 2014-07-05 |          | 
foundation-grid           | Just the grid from…  | =mikker         | 2015-04-21 | 0.1.0    | foundation grid scss
foundation-icon-fonts     | foundation-icon-fon… | =jcherqui       | 2016-11-27 | 0.1.1    | foundation
foundation-icon-fonts-3-g | Crawls the…          | =matiassingers  | 2014-09-24 | 0.2.1    | icons glyphs fonts foundation zurb
lyphsearch-crawler        |                      |                 |            |          |                                   
foundation-icons          | Foundation Icon…     | =patomation     | 2016-08-08 | 1.0.1    | 
foundation-inline-svg     | Make it easy to…     | =kbal11         | 2016-11-28 | 0.0.1    | 
foundation-jade           | A package to…        | =almielczarek   | 2016-05-27 | 0.3.7    | foundation jade
foundation-js             |                      |                 | 2014-02-23 |          | 
foundation-libsass-templa |                      |                 | 2015-05-29 |          | 
te                        |                      |                 |            |          | 
foundation-material       | Integrating…         | =akiran         | 2015-02-12 | 0.1.0    | Foundation for apps material design
foundation-material-desig | Foundation Material… | =sirhodes       | 2016-08-25 | 1.0.0    | google material design
n                         |                      |                 |            |          |                       
foundation-npm-gulp       | Simple package to…   | =alucic         | 2015-09-01 | 1.0.0    | npm zurb foundation gulp
foundation-nunjucks       | Template for…        | =satoru4kata    | 2016-08-10 | 1.0.6    | foundation 6 nunjucks sass scss
foundation-remix          |                      |                 | 2016-02-28 |          | 
foundation-sandboxed      | Custom Foundation…   | =radekstepan    | 2014-10-10 | 5.4.5-s… | foundation css prefix sandbox
foundation-scss           |                      |                 | 2015-04-14 |          | 
foundation-seed           |                      |                 | 2014-06-18 |          | 
foundation-sites          | The most advanced…   | =arthurzurb…    | 2017-02-28 | 6.3.1    | 
engine.io                 | The realtime engine… | =darrachequesne… | 2017-03-11 | 2.1.0    | 
foundation-sites-5        | **This package is…   | =dmackerman     | 2016-04-08 | 5.5.3    | handlebars-helper-rel handlebars-helper-slugify
foundation-sites-loader   | foundation-sites…    | =vitalyrotari   | 2016-02-03 | 1.0.1    | foundation webpack sass
foundation-sites-template | Basic template for…  | =thiagobako     | 2016-02-16 | 1.0.0    | 
foundation-stylus         | Stylus plugin for…   | =latentflip     | 2014-01-27 | 0.9.1    | 
foundation-theme-patience | >…                   | =brian.lai      | 2013-04-09 | 0.1.0    | 
foundation-ui-framework   |                      |                 | 2016-04-26 |          | 
foundation-ui-styles      | Baseline styling…    | =jlaswell       | 2016-07-12 | 1.0.7    | 
foundation-ultimate       | The Ultimate…        | =blu-jay        | 2016-03-05 | 0.2.8    | framework responsive relution scss js angularJs foundation ultimate web apps responsive design angular
foundation.css            | Compiled CSS of the… | =gsklee         | 2015-04-25 | 5.5.1    | foundation zurb css
foundation.scss           | Zurb's Foundation 5… | =jimzhan        | 2015-04-14 | 5.5.1    | zurb foundation sass scss
foundationdb-uniquename   | A simple module to…  | =mmetral        | 2015-02-04 | 0.1.5    | foundationdb web unique
foundationpress           |                      |                 | 2015-10-10 |          | 
foundations               | Foundations…         | =fmatar         | 2015-09-26 | 0.0.1    | 
fowl                      | Document and Query…  | =manast         | 2014-06-01 | 0.1.0    | foundationdb object-modelling query
fowler                    | Document and Query…  | =justmoon       | 2015-03-23 | 1.0.0    | foundationdb object-modelling query
fremix                    | A fast, fluid &…     | =relutiondev    | 2016-06-22 | 1.2.0    | 
front-router              | Generate AngularJS…  | =eddiedean…     | 2016-04-14 | 1.0.0    | foundation angular gulpfriendly
ftechies                  | foundation…          | =amolc          | 2015-10-28 | 1.0.0    | js-mysql-framework
gecko-ci                  | a lightweight build… | =minduca        | 2016-11-29 | 0.0.3    | gecko gecko-ci ci iot extreme feedback gadgets devices lifx tfs team foundation server
generator-veams           | Scaffold modern…     | =sadscorn…      | 2017-01-04 | 7.6.0    | yeoman-generator app assemble mangony veams veams-js veams-sass veams-components veams-generator websites homepage gulp web apps prototype prototypes component front-end scaffold boilerplate templating backbone browserify es harmony javascript grunt
generator-540-angular     | Yeoman generator…    | =ostranme       | 2016-03-22 | 1.0.3    | yeoman-generator angular gulp ui-router bootstrap angular-material foundation sass less
generator-angular-boilerp | Angular-boilerplate… | =cminhho        | 2015-05-17 | 0.0.4    | angular-boilerplate yeoman-generator angular gulp restangular ui-router bootstrap foundation sass less es6 babel traceur typescript coffeescript jade haml webpack jshint
late                      |                      |                 |            |          |                                                                                                                                                                          
generator-angularjs-found | Yeoman generator     | =harrise        | 2015-03-01 | 0.0.1    | yeoman-generator
ation                     |                      |                 |            |          |                 
generator-ariane          | A highly…            | =hikingyo…      | 2016-12-15 | 0.1.7    | yeoman-generator web less scass bootstrap foundation gulp ecmascript6 html5bp modernizr babel
generator-aspnet-xtianus  | Yeoman generator…    | =xtianus        | 2015-04-20 | 0.0.9    | yeoman-generator ASP.NET aspnet ASP net vNext foundation foundation5 zurb
generator-assembly        | A Yeoman generator…  | =mykepreuss…    | 2015-06-23 | 0.0.9    | yeoman-generator LESS SASS SCSS Bootstrap Foundation RequireJS Modernizr Underscore jQuery Grunt Gruntfile HTML5 CSS3 Boilerplate
generator-axyz            | Yeoman Generator…    | =axyz           | 2013-11-01 | 0.4.3    | yeoman-generator web app front-end h5bp modernizr foundation susy axyz
generator-bakspace        | Yeoman generator…    | =idealbrandon   | 2014-06-11 | 0.1.3-c  | yeoman-generator scaffold framework front-end HTML5-BP HTML5 Boiler Plate Twitter Bootstrap Bootstrap Foundation Zurb Foundation Grunt SASS Less
generator-bedrock         | Scaffolds out…       | =paramburu      | 2014-06-10 | 0.1.4    | yeoman-generator foundation zurb foundation5 font-awesome grunt
generator-blueskyfish     | A yeoman generator…  | =blueskyfish    | 2015-08-03 | 0.0.2    | yeoman-generator blueskyfish angular foundation fontawesome
generator-browserify      | Yeoman generator…    | =vincentmac     | 2014-09-30 | 0.4.1    | yeoman-generator generator browserify foundation zurb bootstrap commonjs cjs jade modernizr web app front-end gulp grunt
generator-browserify-vers | Yeoman generator…    | =tapirdata      | 2016-08-26 | 2.1.0    | yeoman-generator scaffold commonjs browsersync browserify es6 es2015 express jade karma mocha chai backbone marionette bootstrap foundation modernizr sass gulp cache-crusher cache busting uglify
atile                     |                      |                 |            |          |                                                                                                                                                                                                   
generator-brunch-symfony  | Scaffolds a…         | =imanu          | 2016-01-08 | 1.3.0    | yeoman-generator brunch symfony bootstrap sass foundation knacss
generator-cyrus           | A generator for…     | =902labs        | 2014-07-21 | 0.0.501  | yeoman-generator foundation
generator-django-kaiju    | Yeoman generator…    | =mixxorz        | 2015-02-20 | 1.3.1    | yeoman-generator
generator-docker-foundati |                      |                 | 2015-08-11 |          | 
onpress                   |                      |                 |            |          | 
generator-docker-foundati | A generator to get…  | =brah0um        | 2015-08-11 | 0.1.1    | yeoman-generator
onpress-child             |                      |                 |            |          |                 
generator-dummies         | A dummy generator -… | =plou           | 2016-05-18 | 2.2.3    | dummy dummysay front-end sass javascript automation ES2015 browserify babeljs jshint scss-lint grunt yeoman-generator
generator-ee-foundation   | Scaffold out a…      | =niallobrien    | 2014-09-15 | 0.3.0    | yeoman-generator web app front-end h5bp jquery gulp foundation browsersync expression engine
generator-efigence        | efigence.com simple… | =jchamicewicz   | 2016-02-24 | 0.5.1    | yeoman web app foundation jasmine boilerplate template gulp babel yuidoc kss sass
generator-ember-config    | Ember Configurator…  | =kmandrup       | 2015-08-12 | 0.2.0    | yeoman-generator generator ember configurator config asset precompiler precompiler layout adapters setup firebase auth bootstrap foundation adddons sails full stack animations gestures blueprints components
generator-ember-plugin    | Scaffold the…        | =glavin001      | 2014-06-09 | 0.1.2    | yeoman-generator
generator-fe              | A generator for…     | =thommeo        | 2013-10-22 | 0.2.0    | yeoman-generator assemble bootstrap foundation
